INDEX_DATE,ITEM_ID,ITEM_DESC,INDEX_ALGORITHM,STRATUM_IND,ITEM_INDEX,ALL_GM_INDEX,GM_RA_INDEX,COICOP_WEIGHT,ITEM_WEIGHT,CPIH_COICOP_WEIGHT
201802,210113,WHOLEMEAL SLICED LOAF BRANDED,1,1,98.945,98.979,98.945,0.75,0.88,0.6
201802,211808,CHILLED POT DESSERT 125-200G,1,1,98.708,98.739,98.708,0.84,0.84,0.63
201802,211014,SAUSAGES-PORK-PER KG,1,1,98.944,100.128,98.944,1.8,0.78,1.44
201802,520327,NHS DENTAL CHARGES,1,0,100,100,100,1.44,1.76,1.44
201802,510432,LADY'S SCARF,2,1,102.406,98.472,98.472,1.5,0.5,1.2
201802,213005,HOT CHOCOLATE DRINK INSTANT,1,1,96.903,96.437,96.903,0.24,0.16,0.24
201802,410638,WOODSCREWS STEEL/ZIN PLATED PK,1,1,100.838,100.929,100.838,0.3,0.56,0.24
201802,520333,NEXT DAY BOUQUET DELIVERY - UK,1,0,100,100,100,0.12,0.16,0.09
201802,610113,NEW CARS,1,0,100.08,100.08,100.08,28,19.5,22
201802,430211,DUVET-DOUBLE TOG 10-13.5,2,1,103.674,102.514,102.514,1.12,0.54,0.8
201802,211023,COOKED HAM PREPACKED SLICED,1,1,100.051,100.36,100.051,2.4,1.08,1.92
201802,630341,PRESCHOOL ACTIVITY TOY,2,1,96.691,96.194,96.194,2.31,0.8,1.87
201802,620107,RAIL FARES,1,0,100,100,100,9.23,4.38,7.81
201802,510410,CHILDS PYJAMAS 18MTHS-13YEARS,2,1,105.875,103.114,103.114,0.52,0.2,0.42
201802,210214,BREAKFAST CEREAL 2,1,1,105.213,103.994,105.213,1.95,0.75,1.56
201802,520305,PRIVATE HEALTH CARE 1,1,0,100,100,100,0.62,1.12,0.62
201802,410629,WALLPAPER PER ROLL,1,1,97.236,98.275,97.236,0.13,0.64,0.13
201802,210911,FRESH TURKEY STEAKS PER KG,1,1,100.011,99.842,100.011,0.2,0.32,0.16
201802,430127,CHEST OF DRAWERS,2,1,106.474,104.923,104.923,0.9,1.4,0.7
201802,640238,ADMISSION TO CULTURAL EVENT,1,0,100,100,100,1.4,0.48,1.12
201802,430509,HOUSEHOLD CLEANER CREAM/LIQUID,1,1,103.949,102.642,103.949,1.05,1.1,0.84
201802,420103,SMOKELESS FUEL 50KG,1,1,100.114,100.095,100.114,0.3,0.3,0.3
201802,630369,CHARCOAL BBQ NOT DISPOSABLE,2,1,100.014,100.014,100.014,0.12,0.1,0.08
201802,640119,DIGITAL TV MONTHLY SUBS,1,0,100,100,100,3.2,4.51,2.56
201802,210502,HOME KILLED LAMB-SHOULDER KG,1,1,104.247,103.253,104.247,0.4,0.61,0.32
201802,310222,CIDER FLAVOURED BOTT 500-568ML,1,1,99.979,100.039,99.979,0.45,0.5,0.35
201802,430422,PLAIN GLASS TUMBLER,1,1,100.268,99.302,100.268,0.4,0.36,0.32
201802,630347,CHILD'S BABY DOLL,2,1,99.858,99.435,99.435,1.26,0.4,1.02
201802,211211,FROZEN BREAD/BAT FISH 400-550G,1,1,99.97,99.977,99.97,0.2,0.18,0.15
201802,212361,POTATOES- BAKING PER KG,1,0,99.68,99.427,99.434,0.13,0.16,0.1
201802,430518,REFUSE SACK FROM PACK OF 10-20,1,1,99.702,99.863,99.702,0.25,0.44,0.2
201802,520322,PRIVATE HEALTH CARE 4,1,0,100,100,100,1.19,0,0.85
201802,610110,CARAVANS,1,0,100,100,100,8.16,2,7.14
201802,210606,FRZEN IMP LAMB: LEG (PER KG),1,1,104.206,104.33,104.206,0.8,1,0.64
201802,211210,FROZEN FISH FINGERS 8-12 PK,1,1,100.432,100.394,100.432,0.88,0.86,0.66
201802,640407,CPI ACCOMODATION SERVICE PROXY,1,0,99.872,99.872,99.872,14.58,0,11.88
201802,430418,PLASTIC FOOD STORAGE CONTAINER,1,1,99.268,100.515,99.268,1,0.92,0.8
201802,310426,RED OR WHITE SPARKLING WINE,1,1,98.021,98.066,98.021,0.9,0.98,0.7
201802,610307,ULTRA LOW SULPHUR DIESEL RPI,1,0,100.845,100.845,100.845,0,13.26,0
201802,640308,FOREIGN HOLIDAYS-CITY BREAKS,2,0,100.401,100.333,100.333,1.95,2.82,1.55
201802,420405,KEROSENE - 1000L DELIVERED,2,1,98.515,98.311,98.311,1,0.83,1
